iter	MultiClass
0	1.696133085
1	1.627707112
2	1.556299763
3	1.494248178
4	1.441241849
5	1.398362949
6	1.358648863
7	1.314759437
8	1.276723706
9	1.242395728
10	1.21040837
11	1.180300213
12	1.156158681
13	1.131366523
14	1.10950003
15	1.089763205
16	1.070733123
17	1.052620342
18	1.035904162
19	1.020701114
20	1.005414404
21	0.993064199
22	0.9804441884
23	0.9680410577
24	0.9558469693
25	0.9459384067
26	0.9351267572
27	0.9258461148
28	0.9185053281
29	0.9079252025
30	0.8991977549
31	0.8932022264
32	0.8855240085
33	0.8787470318
34	0.8704187165
35	0.8642300721
36	0.858358707
37	0.8526623591
38	0.8469380109
39	0.8412924431
40	0.83562007
41	0.8313516984
42	0.8253802183
43	0.8210827347
44	0.8159403471
45	0.811203937
46	0.8061899475
47	0.8011557084
48	0.7978187297
49	0.7932859871
50	0.7902225891
51	0.7850652737
52	0.7809642492
53	0.7765960848
54	0.7734387088
55	0.7704645754
56	0.7679873574
57	0.7649531547
58	0.7602701273
59	0.7567872156
60	0.7535528567
61	0.7506434031
62	0.7480044405
63	0.7452272028
64	0.7419086682
65	0.7388304202
66	0.7362976975
67	0.7326472495
68	0.7296640575
69	0.7262256489
70	0.7246012912
71	0.7221648059
72	0.719655998
73	0.7176305911
74	0.7147055125
75	0.7123519818
76	0.710623834
77	0.7072638664
78	0.7040595595
79	0.7015221598
80	0.6990740639
81	0.6955171895
82	0.6936257406
83	0.6897807909
84	0.6871210884
85	0.6848217516
86	0.6816093653
87	0.6786105135
88	0.6750259066
89	0.6725944286
90	0.6689705412
91	0.6660337155
92	0.6643640802
93	0.6631537516
94	0.661803452
95	0.6590474108
96	0.6552565868
97	0.652180716
98	0.6498686061
99	0.6464599446
100	0.6431099056
101	0.6410154929
102	0.638151868
103	0.6359259846
104	0.6339378605
105	0.633285161
106	0.6322788427
107	0.6296943592
108	0.627725735
109	0.6261877762
110	0.6242860426
111	0.6229840103
112	0.6202996997
113	0.6180523436
114	0.6159442102
115	0.6125955307
116	0.609268984
117	0.6066993402
118	0.6037891791
119	0.6006669651
120	0.597685319
121	0.5959573134
122	0.5927584527
123	0.5905466675
124	0.58819432
125	0.5853434495
126	0.5827269789
127	0.5800565726
128	0.5779309883
129	0.5751428188
130	0.5721563548
131	0.5692789846
132	0.567634272
133	0.5646893963
134	0.5632727075
135	0.5611964947
136	0.5594517812
137	0.5578599784
138	0.5553625879
139	0.5527137334
140	0.5509105351
141	0.5486790552
142	0.5465108066
143	0.5439861288
144	0.542140216
145	0.540360896
146	0.5385253201
147	0.5368396289
148	0.5344610236
149	0.5319290577
150	0.5306152556
151	0.5296709939
152	0.5287355531
153	0.5273884123
154	0.5254798219
155	0.5243223058
156	0.5230731018
157	0.5206011655
158	0.517565342
159	0.5160449714
160	0.5145215669
161	0.5126894959
162	0.5102629343
163	0.5083911728
164	0.5069266827
165	0.5054896478
166	0.5036290584
167	0.5017255713
168	0.4988912859
169	0.4974626845
170	0.495791378
171	0.4939691285
172	0.4920352778
173	0.4908481023
174	0.4898080804
175	0.4884507462
176	0.4858642395
177	0.4849698644
178	0.4835172583
179	0.4820272029
180	0.4799190473
181	0.4783489707
182	0.4778559609
183	0.4765897033
184	0.4754617764
185	0.4734900731
186	0.4716480669
187	0.4702303824
188	0.4690508016
189	0.4671763294
190	0.4642132915
191	0.4615734392
192	0.4604238311
193	0.458575912
194	0.4576564752
195	0.4559846966
196	0.4544058924
197	0.4526836991
198	0.4518699006
199	0.4503679009
200	0.4495739848
201	0.4478420567
202	0.4465406254
203	0.4457139011
204	0.4449599501
205	0.4442531894
206	0.4428116823
207	0.4411062416
208	0.4407232012
209	0.4399076614
210	0.4381208297
211	0.436721547
212	0.4354141508
213	0.4346863479
214	0.4334787485
215	0.4322024698
216	0.4316792694
217	0.4300494326
218	0.4288813248
219	0.4268680488
220	0.425918809
221	0.4242738494
222	0.4225488578
223	0.421282602
224	0.4194780985
225	0.4182542786
226	0.4174061488
227	0.4156541676
228	0.4145010959
229	0.4119694447
230	0.4110711446
231	0.4103044113
232	0.4086883743
233	0.4079294755
234	0.407648433
235	0.4059799319
236	0.4048066647
237	0.4029632491
238	0.4021547567
239	0.4009390579
240	0.3991274749
241	0.3981445011
242	0.3967359539
243	0.3949760698
244	0.3933628573
245	0.3922931841
246	0.391233541
247	0.3902769939
248	0.3888521128
249	0.387275338
250	0.3868293912
251	0.3856768254
252	0.3844786388
253	0.38370737
254	0.3822268272
255	0.3817026277
256	0.3805588696
257	0.3792984312
258	0.3786070253
259	0.3777139911
260	0.3773530916
261	0.3766929915
262	0.3748564676
263	0.3740492152
264	0.3730990919
265	0.3720554373
266	0.3706735428
267	0.3702342959
268	0.3698408814
269	0.368557726
270	0.3679923904
271	0.3669598973
272	0.3660672202
273	0.3650801349
274	0.3634064188
275	0.3617889383
276	0.361039259
277	0.3595647636
278	0.3579839208
279	0.357149049
280	0.3568309329
281	0.3560632432
282	0.354165595
283	0.3529011967
284	0.352136099
285	0.3516516652
286	0.3510766189
287	0.3501232802
288	0.3493172756
289	0.3480699054
290	0.3475717475
291	0.346630986
292	0.3460506426
293	0.3452308419
294	0.3447080672
295	0.3435514924
296	0.3423673498
297	0.341015165
298	0.3404372902
299	0.3396873204
300	0.3392241158
301	0.3385685377
302	0.337478751
303	0.3367730523
304	0.3356806872
305	0.3347428018
306	0.3336681476
307	0.332995769
308	0.3320260611
309	0.3309255893
310	0.3301661342
311	0.3284188731
312	0.3278856455
313	0.3269404049
314	0.3258851069
315	0.3254617402
316	0.3249418115
317	0.3241430749
318	0.3225443274
319	0.321254245
320	0.3197360983
321	0.3190074625
322	0.3181555794
323	0.3176713169
324	0.3171384556
325	0.3155125078
326	0.3143765128
327	0.3130705312
328	0.3121515435
329	0.3109352151
330	0.3106202229
331	0.3100195231
332	0.309162603
333	0.3080551435
334	0.3069060247
335	0.3062018772
336	0.3054146537
337	0.3050701443
338	0.3046883095
339	0.3031674892
340	0.3027217754
341	0.3023090022
342	0.3010680118
343	0.3002930521
344	0.2994890355
345	0.2987504462
346	0.2982656146
347	0.2973386909
348	0.2964332979
349	0.2959659304
350	0.2950961353
351	0.2948087814
352	0.2937379922
353	0.2930840107
354	0.2928412284
355	0.2918522062
356	0.2904654349
357	0.2898068742
358	0.2891784777
359	0.2883237945
360	0.2873809325
361	0.2869069559
362	0.2860533618
363	0.2852390426
364	0.2845549475
365	0.2836302961
366	0.2826956864
367	0.2821474098
368	0.2813406241
369	0.2806793675
370	0.2799728547
371	0.2791611063
372	0.2784546076
373	0.2777762918
374	0.2771031768
375	0.2760881009
376	0.275451819
377	0.2745586384
378	0.2735539974
379	0.2729612294
380	0.2719910892
381	0.2717027065
382	0.2706676681
383	0.2696493311
384	0.2690828001
385	0.2684749306
386	0.2676037142
387	0.2669679219
388	0.2660846431
389	0.2654863338
390	0.2646135145
391	0.2642009782
392	0.2632832475
393	0.2622956923
394	0.2616747175
395	0.2607533876
396	0.259572892
397	0.2589826337
398	0.2587109595
399	0.2579978529
400	0.2576285078
401	0.2567593908
402	0.2560620153
403	0.2555520503
404	0.2552006242
405	0.2551350084
406	0.2544725928
407	0.2534705642
408	0.2526988081
409	0.252052173
410	0.25128265
411	0.2507392811
412	0.2498085558
413	0.2490227187
414	0.2482659571
415	0.2474080227
416	0.2466439383
417	0.2457686205
418	0.2452128153
419	0.2445783477
420	0.243869985
421	0.2435111626
422	0.2428483809
423	0.2423920672
424	0.2419077929
425	0.2410817967
426	0.2403790534
427	0.2396351129
428	0.2388836284
429	0.2376889304
430	0.2367419542
431	0.2363297597
432	0.2354607575
433	0.2349884205
434	0.2343400187
435	0.2339333483
436	0.2331815103
437	0.2325325876
438	0.2323499386
439	0.2319166783
440	0.2313788203
441	0.2308973042
442	0.230627981
443	0.2300507607
444	0.2296589868
445	0.2293008056
446	0.2287279445
447	0.2281472805
448	0.2280235659
449	0.22745292
450	0.2269733312
451	0.226173598
452	0.2258269824
453	0.2255535638
454	0.2250931296
455	0.2244809893
456	0.2240994313
457	0.2233425725
458	0.2227640925
459	0.2224287109
460	0.2218486
461	0.2215400777
462	0.2208616849
463	0.2203088224
464	0.2199521237
465	0.219330462
466	0.2191343365
467	0.2186900078
468	0.2182491144
469	0.2177885424
470	0.2173989686
471	0.216817071
472	0.2163327813
473	0.2158997192
474	0.2154115594
475	0.2148394608
476	0.2145740305
477	0.2137392096
478	0.2134545002
479	0.2129682309
480	0.2126266268
481	0.2121108198
482	0.2114614892
483	0.2109390983
484	0.2105488194
485	0.2103713819
486	0.2099911625
487	0.2092553586
488	0.2086551209
489	0.2080582332
490	0.2074206664
491	0.2069819759
492	0.206589082
493	0.2061934614
494	0.2058460226
495	0.2053869141
496	0.2048718378
497	0.2044402503
498	0.2040284079
499	0.2034675465
500	0.2029994054
501	0.2026435632
502	0.2022327349
503	0.2017179599
504	0.201037003
505	0.2004464157
506	0.2002042846
507	0.1997238993
508	0.1990024414
509	0.198583429
510	0.1982707339
511	0.1977855401
512	0.197452353
513	0.197045124
514	0.1968393234
515	0.1963831015
516	0.1959376819
517	0.1954704752
518	0.194886663
519	0.1943013456
520	0.1937740556
521	0.1934688353
522	0.1928176574
523	0.1922927715
524	0.1919884195
525	0.1916172222
526	0.1912443226
527	0.1908450088
528	0.1904191405
529	0.1899054384
530	0.1893024991
531	0.189006194
532	0.1885769976
533	0.1882092313
534	0.1878043722
535	0.1877543556
536	0.1873982721
537	0.1870650114
538	0.1868267902
539	0.1863557885
540	0.1862380877
541	0.185813333
542	0.1852832782
543	0.184823356
544	0.1844700651
545	0.1841337765
546	0.1838467901
547	0.1836983952
548	0.1833848213
549	0.1831194578
550	0.1825311321
551	0.1824341025
552	0.1821499185
553	0.1814709555
554	0.1809179816
555	0.1804760645
556	0.1802320959
557	0.1799373154
558	0.1795099021
559	0.1793508274
560	0.1788739024
561	0.1785323047
562	0.1781179801
563	0.1777896617
564	0.1774773839
565	0.1770914808
566	0.1769321311
567	0.1766928759
568	0.1764273147
569	0.1758935984
570	0.1753492578
571	0.1747842949
572	0.1745136418
573	0.1741722446
574	0.1739289012
575	0.1736908917
576	0.1734688208
577	0.1731760789
578	0.1726278497
579	0.172207342
580	0.1718808145
581	0.1716353099
582	0.1711209513
583	0.1707348864
584	0.1704501731
585	0.1700312321
586	0.1698647234
587	0.1696289688
588	0.169135464
589	0.1688462205
590	0.1684556768
591	0.1680666561
592	0.1678822475
593	0.1672855287
594	0.16709538
595	0.1665372125
596	0.1662543654
597	0.1661194107
598	0.1659254001
599	0.1656550807
600	0.1651140007
601	0.1646534767
602	0.1644976549
603	0.1641594785
604	0.1640282373
605	0.1636535047
606	0.1633727426
607	0.1631613819
608	0.163032072
609	0.1627023238
610	0.162511732
611	0.1622522366
612	0.1619286888
613	0.1615698384
614	0.1611465618
615	0.160859789
616	0.1605567859
617	0.1602364559
618	0.15989311
619	0.1597709842
620	0.1595620514
621	0.1592493607
622	0.1589493161
623	0.1583942377
624	0.1582190386
625	0.1580209161
626	0.1576474924
627	0.1570923416
628	0.1566848506
629	0.1563280037
630	0.1560720079
631	0.1558280387
632	0.1553720822
633	0.1549852617
634	0.1547671916
635	0.1544130612
636	0.1540743229
637	0.153681271
638	0.1535116523
639	0.1532061185
640	0.1527326636
641	0.1522744693
642	0.1518407273
643	0.1514966973
644	0.1511746339
645	0.1507947103
646	0.1503892128
647	0.1501073779
648	0.1495822347
649	0.149326349
650	0.1491309027
651	0.1488377102
652	0.1485999089
653	0.148427999
654	0.1482770386
655	0.148112003
656	0.1477363512
657	0.1474237338
658	0.147173729
659	0.1469939349
660	0.1467402193
661	0.1466066791
662	0.1465166812
663	0.1461498313
664	0.145804678
665	0.1454388816
666	0.1450647449
667	0.1446668942
668	0.1444715885
669	0.144236957
670	0.1439860223
671	0.1438331771
672	0.1437252374
673	0.1436116181
674	0.1434125387
675	0.1432694447
676	0.1430114274
677	0.1426516663
678	0.1422568387
679	0.1421452205
680	0.1418824011
681	0.1415411756
682	0.1414482421
683	0.1411685188
684	0.1407389818
685	0.1404973594
686	0.1404261677
687	0.140021056
688	0.1397256004
689	0.1394128948
690	0.1393316596
691	0.1391790242
692	0.1390670556
693	0.1390187868
694	0.138716424
695	0.1382766527
696	0.1381147451
697	0.1379352284
698	0.1378482609
699	0.1375627847
700	0.1374067935
701	0.1371250304
702	0.1367735126
703	0.1364998883
704	0.1360592701
705	0.135871371
706	0.1355377847
707	0.1353887597
708	0.1350943343
709	0.1347469063
710	0.134594746
711	0.1343616341
712	0.1340063298
713	0.1337092759
714	0.133609714
715	0.1333389662
716	0.133096712
717	0.1328135255
718	0.1325534689
719	0.1323537052
720	0.1321881692
721	0.1320515576
722	0.1318127157
723	0.1315940228
724	0.1314693025
725	0.1312232814
726	0.1308722666
727	0.1307034106
728	0.1305106261
729	0.1303984359
730	0.1302305033
731	0.1300077899
732	0.1296893429
733	0.1294127326
734	0.1292276798
735	0.1290594571
736	0.1287669326
737	0.1285417338
738	0.1283606949
739	0.1281114525
740	0.1278766571
741	0.1275925927
742	0.127310717
743	0.1272624606
744	0.1270990728
745	0.1268232851
746	0.1265469883
747	0.1262602466
748	0.1259801344
749	0.1258039837
750	0.1257358348
751	0.1255849971
752	0.1253945665
753	0.1251551949
754	0.1249419063
755	0.1246670026
756	0.124388487
757	0.1241723735
758	0.1238968126
759	0.1236278435
760	0.1235391138
761	0.1233087082
762	0.1231994346
763	0.1228413114
764	0.1225178138
765	0.1222368378
766	0.1220280489
767	0.121763341
768	0.1215858398
769	0.1213765094
770	0.1211039097
771	0.1209499406
772	0.1208708778
773	0.1207138892
774	0.1204155599
775	0.1202251694
776	0.1200059308
777	0.119852883
778	0.1196375401
779	0.1195503045
780	0.1192259583
781	0.1191356717
782	0.1190332021
783	0.1187196974
784	0.1186436676
785	0.1184307676
786	0.118178153
787	0.1180505598
788	0.1178383236
789	0.1176338707
790	0.1175486538
791	0.1172656073
792	0.1171391259
793	0.1169405031
794	0.1168025258
795	0.1166413576
796	0.1164023201
797	0.1163194171
798	0.1161703522
799	0.1160576326
800	0.1159840813
801	0.1157209684
802	0.1155512418
803	0.1152256647
804	0.1149743397
805	0.1148336991
806	0.114532031
807	0.1143256592
808	0.1139858315
809	0.1137732954
810	0.1136014643
811	0.1135048432
812	0.113202354
813	0.1130439193
814	0.1127740044
815	0.1125254513
816	0.1124920416
817	0.1122442298
818	0.1120342937
819	0.1119649707
820	0.111734633
821	0.1114885951
822	0.1113106384
823	0.1111471739
824	0.1110830509
825	0.1109779447
826	0.1107137273
827	0.1105169285
828	0.1103026654
829	0.110076407
830	0.1099408127
831	0.109713765
832	0.1095460708
833	0.1093463414
834	0.1092429312
835	0.1090883442
836	0.1089376701
837	0.1087494493
838	0.1086554329
839	0.1084403579
840	0.108065516
841	0.1078632088
842	0.107744436
843	0.1074298703
844	0.1072296853
845	0.1071249232
846	0.106899282
847	0.1066600027
848	0.1065185756
849	0.106362125
850	0.1062394045
851	0.1059710954
852	0.1058648949
853	0.1056357763
854	0.1055234871
855	0.1053695529
856	0.1051377281
857	0.1050787182
858	0.104992675
859	0.104771834
860	0.1046641693
861	0.1045088428
862	0.1044261734
863	0.1043042615
864	0.1041158487
865	0.1039369681
866	0.1038562712
867	0.1037363766
868	0.1035476151
869	0.1033349171
870	0.1031164256
871	0.1028898627
872	0.102743005
873	0.1026592992
874	0.1025177513
875	0.1023953326
876	0.1022007569
877	0.1020687082
878	0.1018665046
879	0.1018009932
880	0.1016591804
881	0.1014259694
882	0.1013264993
883	0.1011763171
884	0.1010155264
885	0.1008919647
886	0.1007239549
887	0.1006097439
888	0.1004732929
889	0.1002395218
890	0.1000575159
891	0.09987976798
892	0.09970997839
893	0.09953754951
894	0.09933438089
895	0.09921395856
896	0.0990912568
897	0.09897233517
898	0.09872948235
899	0.09849840689
900	0.09837587307
901	0.09826933086
902	0.09810980528
903	0.09789746618
904	0.09777265804
905	0.09760497882
906	0.09745390149
907	0.0972366807
908	0.09710921432
909	0.09699907219
910	0.09691864859
911	0.09684802652
912	0.09676001091
913	0.0965842138
914	0.09651535323
915	0.09647121108
916	0.09641425002
917	0.09616768965
918	0.09614047202
919	0.09599373813
920	0.09584797254
921	0.09568209091
922	0.09565124601
923	0.09541846632
924	0.09535317176
925	0.09525818354
926	0.09512568844
927	0.09504137623
928	0.09479575001
929	0.09460429371
930	0.09446340371
931	0.09432852781
932	0.09425411598
933	0.0940699994
934	0.09393913914
935	0.09379986678
936	0.09369105335
937	0.09357550745
938	0.09344665502
939	0.09336009462
940	0.09329147745
941	0.09319840762
942	0.09310807302
