iter	Passed	Remaining
0	4	877
1	9	893
2	13	887
3	18	895
4	22	882
5	27	898
6	32	901
7	37	901
8	42	896
9	47	894
10	51	889
11	56	880
12	60	876
13	65	867
14	69	859
15	74	856
16	79	850
17	83	843
18	87	837
19	92	833
20	97	827
21	101	821
22	106	816
23	110	811
24	115	805
25	119	799
26	124	796
27	128	790
28	133	784
29	137	778
30	142	775
31	146	770
32	151	764
33	155	761
34	160	757
35	165	752
36	169	747
37	174	744
38	179	739
39	183	733
40	187	728
41	192	724
42	197	719
43	201	714
44	206	711
45	210	706
46	215	701
47	220	698
48	225	693
49	229	688
50	234	684
51	239	681
52	243	676
53	248	671
54	252	666
55	257	662
56	262	657
57	266	652
58	271	649
59	276	644
60	280	638
61	284	634
62	289	629
63	293	624
64	298	619
65	303	616
66	307	611
67	312	605
68	316	601
69	321	597
70	326	592
71	330	588
72	335	583
73	340	579
74	344	574
75	349	570
76	354	566
77	359	561
78	363	556
79	368	552
80	370	544
81	375	539
82	379	534
83	384	530
84	388	525
85	392	520
86	395	513
87	399	508
88	404	503
89	408	499
90	412	494
91	417	490
92	422	486
93	426	481
94	431	476
95	436	472
96	441	468
97	445	463
98	450	459
99	455	455
100	459	450
101	464	445
102	468	441
103	473	436
104	477	432
105	482	427
106	486	423
107	491	418
108	495	413
109	500	409
110	504	404
111	509	399
112	513	395
113	517	390
114	522	386
115	526	381
116	531	377
117	536	372
118	540	367
119	544	363
120	549	358
121	553	354
122	558	349
123	563	345
124	567	340
125	572	335
126	576	331
127	581	326
128	585	322
129	589	317
130	594	313
131	599	308
132	603	304
133	608	299
134	612	295
135	617	290
136	622	286
137	626	281
138	631	277
139	636	272
140	640	268
141	645	263
142	650	259
143	654	254
144	659	250
145	663	245
146	668	240
147	672	236
148	677	231
149	682	227
150	686	222
151	690	218
152	695	213
153	700	209
154	704	204
155	709	200
156	713	195
157	717	190
158	722	186
159	726	181
160	731	177
161	735	172
162	740	168
163	745	163
164	749	158
165	753	154
166	758	149
167	762	145
168	767	140
169	771	136
170	776	131
171	780	127
172	785	122
173	789	118
174	794	113
175	799	108
176	803	104
177	808	99
178	812	95
179	817	90
180	822	86
181	826	81
182	831	77
183	836	72
184	841	68
185	845	63
186	850	59
187	854	54
188	860	50
189	864	45
190	869	40
191	874	36
192	879	31
193	883	27
194	888	22
195	892	18
196	897	13
197	901	9
198	906	4
199	911	0
